Codigo;Nome;Numero;;;;;;
C3;ICAR INDEPENDENT CARRIER;?;;;;;;
FI;ICELANDAIR;169;;;;;;
LS;ILIAMNA AIR TAXI INC.;?;;;;;;
IK;IMAIR;?;;;;;;
VQ;IMPULSE AIRLINES;?;;;;;;
IC;INDIAN AIRLINES;169;;;;;;
7I;INSEL AIR;958;;;;;;
8I;Insel Air Aruba;169;;;;;;
AG;INTER PROVINCIAL AIRLINES;?;;;;;;
QB;INTER-QUEBEC;?;;;;;;
D6;Interair South Africa;169;;;;;;
Q9;INTERBRAZIL STAR;?;;;;;;
JY;interCaribbean Airways;169;;;;;;
4O;INTERJET;900;;;;;;
